Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Family, MPN, Manufacturer, Status
A1 ,1,"Arduino_Nano_33IoT","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","1050-ABX00032-ND","","","","","","","",""
C1 C2 ,2,"10nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://datasheets.avx.com/SR-Series.pdf","BC2662CT-ND","","","","","","","",""
C14 ,1,"1uF","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~","445-180204-ND","","","","","","","",""
C3 C4 ,2,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_ml.pdf","1189-3982-ND","","","","","","","",""
C5 C6 C7 C9 C12 C13 ,6,"100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://datasheets.avx.com/SR-Series.pdf","478-2472-ND","","","","","","","",""
C8 C10 ,2,"330nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://datasheets.avx.com/SR-Series.pdf","445-173597-1-ND","","","","","","","",""
D1 D2 D8 D7 D9 D10 D12 D11 D18 D17 D16 D15 D20 D19 ,14,"SB120","sputterizer:D_DO-41_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","SB120FSCT-ND","","","","","","","",""
D14 ,1,"RED LED","LED_THT:LED_D3.0mm","https://katalog.we-online.de/led/datasheet/151031SS04000.pdf","732-5005-ND","","","","","","","",""
D3 ,1,"GREEN LED","LED_THT:LED_D3.0mm","https://katalog.we-online.de/led/datasheet/151031SS04000.pdf","732-5008-ND","","","","","","","",""
D4 ,1,"BLUE LED","LED_THT:LED_D3.0mm","https://katalog.we-online.de/led/datasheet/151031SS04000.pdf","732-11401-ND","","","","","","","",""
D5 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","https://katalog.we-online.de/led/datasheet/151031SS04000.pdf","160-1961-ND","","","","","","","",""
D6 D13 ,2,"1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp","http://www.vishay.com/docs/81857/1n4148.pdf","1N4148VSCT-ND","","","","","","","",""
H2 H3 H1 H4 ,4,"MountingHole","MountingHole:MountingHole_2.5mm","~"
H5 ,1,"MountingHole","sputterizer:MountingHole_2.5mm-No-Margin","~"
J2 ,1,"2X8 Header","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","S2011EC-08-ND","","","","","","","",""
J3 J4 J5 J6 J1 ,5,"3.5mm Jack","sputterizer:Molex-0472570001","~","WM17366-ND","","","","","","","",""
J7 ,1,"Expansion Header","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","S2011EC-04-ND","","","","","","","",""
J8 ,1,"FRAM Header","sputterizer:PinHeader_1x8_P2.54mm_Drill1.02mm","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","S7041-ND","Connectors, Interconnects","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","/product-detail/en/molex/0022232041/WM4202-ND/26671","CONN HEADER VERT 4POS 2.54MM","Rectangular Connectors - Headers, Male Pins","0022232041","Molex","Active"
J9 ,1,"Display Header","sputterizer:OLED_Header","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","S7037-ND","Connectors, Interconnects","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","/product-detail/en/molex/0022232041/WM4202-ND/26671","CONN HEADER VERT 4POS 2.54MM","Rectangular Connectors - Headers, Male Pins","0022232041","Molex","Active"
Q1 ,1,"TN2106","digikey-footprints:TO-92-3_Formed_Leads","https://www.onsemi.com/pub/Collateral/BS170-D.PDF","TN2106N3-G-ND","","","","","","","",""
Q4 Q2 ,2,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","2N3906FS-ND","","","","","","","",""
Q5 Q3 ,2,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","2N3904FS-ND","","","","","","","",""
R1 R15 R11 R5 R8 ,5,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CF14JT10K0CT-ND","","","","","","","",""
R13 R6 R26 R27 R12 ,5,"100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","RNF14FTD100KCT-ND","","","","","","","",""
R16 R10 ,2,"47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CF14JT47K0CT-ND","","","","","","","",""
R17 R23 R24 R28 ,4,"301K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","301KXBK-ND","","","","","","","",""
R19 R18 R7 R9 R20 R25 ,6,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","PPC470W-1CT-ND","","","","","","","",""
R2 R4 R3 R14 ,4,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","CF14JT1K00CT-ND","","","","","","","",""
R30 ,1,"133K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","133KXBK-ND","","","","","","","",""
R31 R29 ,2,"200K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","200KXBK-ND","","","","","","","",""
RV1 ,1,"1K","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","PTV09A-4225F-B102-ND","","","","","","","",""
SW1 ,1,"Adj","digikey-footprints:Rotary_Encoder_Switched_PEC11R","~","PEC11R-4315F-S0012","","","","","","","",""
SW5 SW4 SW3 SW2 SW7 SW6 SW8 ,7,"~","Button_Switch_THT:SW_PUSH_6mm","~","450-1643-ND","","","","","","","",""
TP1 TP2 ,2,"TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","36-5006-ND","","","","","","","",""
U1 U3 ,2,"TL072","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","296-14997-5-ND","","","","","","","",""
U2 ,1,"CD4013BE","Package_DIP:DIP-14_W7.62mm_Socket","","296-2033-5-ND","","","","","","","",""
U4 ,1,"MC7805CTG","digikey-footprints:TO-220-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","MC7805CTGOS-ND","","","","","","","",""