Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, URL
J1 ,1,"FRAM Pins","","","732-5321-ND",""
J12 ,1,"Eurorack Power Cable","","~","H3CCS-1618G-ND",""
J13 J14 ,2,"Arduino Socket","","~","S7048-ND",""
J2 ,1,"OLED Pins","","","732-5317-ND",""
KN1 ,1,"Selector Knob","","~","226-4215-ND",""
KN2 ,1,"Scale Knob","","~","1722-1241-ND",""
M1 ,1,"FRAM_Module","","","1528-1035-ND",""
M2 ,1,"OLED_Module","","","","https://www.amazon.com/gp/product/B072Q2X2LL/"
N1 N2 N3 N4 N5 N6 N7 ,7,"Nut","","~","36-4687-ND",""
SC1 SC2 SC3 SC4 SC5 ,5,"Nylon Screw","","~","36-29331-ND",""
SC6 SC7 SC8 SC9 ,4,"Mounting Screw","","~","335-1156-ND",""
SK1 SK2 SK4 ,3,"A_08-LC-TT","","http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0810_CO.pdf","AE9986-ND",""
SK3 ,1,"A_14-LC-TT","","http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0810_CO.pdf","AE9989-ND",""
SO1 SO2 SO3 SO4 ,4,"Standoff 12mm","","~","732-13063-ND",""
SO5 ,1,"Standoff 7mm","","~","732-13045-ND",""
SO6 SO7 ,2,"Standoff 10mm","","~","732-13055-ND",""
W1 ,1,"Washer","","~","RPC3448-ND",""